JOB ID     : 3d7bea1fd511ee9e3527bcc9c91eef22ecefc3a4
JOB LOG    : /home/jenkins/avocado/job-results/job-2018-03-08T15.25-3d7bea1/job.log
 (001/101) access:  FAIL (0.27 s)
 (002/101) apic:  FAIL (0.17 s)
 (003/101) apic-split:  FAIL (0.18 s)
 (004/101) debug:  FAIL (0.18 s)
 (005/101) emulator:  FAIL (0.18 s)
 (006/101) eventinj:  FAIL (0.17 s)
 (007/101) hypercall:  FAIL (0.18 s)
 (008/101) hyperv_clock:  FAIL (0.17 s)
 (009/101) hyperv_connections:  FAIL (0.22 s)
 (010/101) hyperv_stimer:  FAIL (0.19 s)
 (011/101) hyperv_synic:  FAIL (0.17 s)
 (012/101) idt_test:  FAIL (0.18 s)
 (013/101) intel_iommu:  FAIL (0.19 s)
 (014/101) ioapic:  FAIL (0.26 s)
 (015/101) ioapic-split:  FAIL (0.17 s)
 (016/101) kvmclock_test:  FAIL (0.17 s)
 (017/101) memory:  FAIL (0.18 s)
 (018/101) msr:  FAIL (0.21 s)
 (019/101) pcid:  FAIL (0.19 s)
 (020/101) pku:  FAIL (0.18 s)
 (021/101) pmu:  FAIL (0.14 s)
 (022/101) port80:  FAIL (0.17 s)
 (023/101) realmode:  FAIL (0.17 s)
 (024/101) rmap_chain:  FAIL (0.17 s)
 (025/101) s3:  FAIL (0.17 s)
 (026/101) sieve:  FAIL (0.16 s)
 (027/101) smap:  FAIL (0.18 s)
 (028/101) smptest:  FAIL (0.20 s)
 (029/101) smptest3:  FAIL (0.20 s)
 (030/101) svm:  FAIL (0.18 s)
 (031/101) syscall:  FAIL (0.18 s)
 (032/101) taskswitch:  FAIL (0.07 s)
 (033/101) taskswitch2:  FAIL (0.08 s)
 (034/101) tsc:  FAIL (0.18 s)
 (035/101) tsc_adjust:  FAIL (0.18 s)
 (036/101) vmexit_cpuid:  FAIL (0.20 s)
 (037/101) vmexit_inl_pmtimer:  FAIL (0.27 s)
 (038/101) vmexit_ipi:  FAIL (0.19 s)
 (039/101) vmexit_ipi_halt:  FAIL (0.19 s)
 (040/101) vmexit_mov_from_cr8:  FAIL (0.18 s)
 (041/101) vmexit_mov_to_cr8:  FAIL (0.17 s)
 (042/101) vmexit_ple_round_robin:  FAIL (0.18 s)
 (043/101) vmexit_tscdeadline:  FAIL (0.21 s)
 (044/101) vmexit_tscdeadline_immed:  FAIL (0.19 s)
 (045/101) vmexit_vmcall:  FAIL (0.18 s)
 (046/101) vmx:  FAIL (0.57 s)
 (047/101) vmx_control_field_EFER:  FAIL (0.18 s)
 (048/101) vmx_control_field_PAT:  FAIL (0.19 s)
 (049/101) vmx_controls:  FAIL (0.17 s)
 (050/101) vmx_cr_load_test:  FAIL (0.18 s)
 (051/101) vmx_CR_shadowing:  FAIL (0.18 s)
 (052/101) vmx_debug_controls:  FAIL (0.19 s)
 (053/101) vmx_disable_RDTSCP:  FAIL (0.19 s)
 (054/101) vmx_ept_access_test_execute_only:  FAIL (0.19 s)
 (055/101) vmx_ept_access_test_force_2m_page:  FAIL (0.22 s)
 (056/101) vmx_ept_access_test_ignored_bits:  FAIL (0.21 s)
 (057/101) vmx_ept_access_test_not_present:  FAIL (0.34 s)
 (058/101) vmx_ept_access_test_paddr_not_present_ad_disabled:  FAIL (0.19 s)
 (059/101) vmx_ept_access_test_paddr_not_present_ad_enabled:  FAIL (0.19 s)
 (060/101) vmx_ept_access_test_paddr_not_present_page_fault:  FAIL (0.20 s)
 (061/101) vmx_ept_access_test_paddr_read_execute_ad_disabled:  FAIL (0.18 s)
 (062/101) vmx_ept_access_test_paddr_read_execute_ad_enabled:  FAIL (0.21 s)
 (063/101) vmx_ept_access_test_paddr_read_only_ad_disabled:  FAIL (0.19 s)
 (064/101) vmx_ept_access_test_paddr_read_only_ad_enabled:  FAIL (0.18 s)
 (065/101) vmx_ept_access_test_paddr_read_write:  FAIL (0.17 s)
 (066/101) vmx_ept_access_test_paddr_read_write_execute:  FAIL (0.18 s)
 (067/101) vmx_ept_access_test_read_execute:  FAIL (0.19 s)
 (068/101) vmx_ept_access_test_read_only:  FAIL (0.20 s)
 (069/101) vmx_ept_access_test_read_write:  FAIL (0.23 s)
 (070/101) vmx_ept_access_test_read_write_execute:  FAIL (0.22 s)
 (071/101) vmx_ept_access_test_reserved_bits:  FAIL (0.18 s)
 (072/101) vmx_ept_access_test_write_execute:  FAIL (0.18 s)
 (073/101) vmx_ept_access_test_write_only:  FAIL (0.22 s)
 (074/101) vmx_EPT_AD_disabled:  FAIL (0.18 s)
 (075/101) vmx_EPT_AD_enabled:  FAIL (0.19 s)
 (076/101) vmx_exit_monitor_from_l2_test:  FAIL (0.20 s)
 (077/101) vmx_instruction_intercept:  FAIL (0.18 s)
 (078/101) vmx_int3:  FAIL (0.18 s)
 (079/101) vmx_interrupt:  FAIL (0.19 s)
 (080/101) vmx_into:  FAIL (1.00 s)
 (081/101) vmx_invvpid:  FAIL (0.23 s)
 (082/101) vmx_IO_bitmap:  FAIL (0.24 s)
