JOB ID     : 57355e552e3b5550ae75a82813609bbd7f252e25
JOB LOG    : /home/jenkins/avocado/job-results/job-2018-03-23T16.12-57355e5/job.log
 (001/105) access:  FAIL (0.29 s)
 (002/105) apic:  FAIL (0.19 s)
 (003/105) apic-split:  FAIL (0.19 s)
 (004/105) debug:  FAIL (0.20 s)
 (005/105) emulator:  FAIL (0.18 s)
 (006/105) eventinj:  FAIL (0.20 s)
 (007/105) hypercall:  FAIL (0.19 s)
 (008/105) hyperv_clock:  FAIL (0.19 s)
 (009/105) hyperv_connections:  FAIL (0.18 s)
 (010/105) hyperv_stimer:  FAIL (0.19 s)
 (011/105) hyperv_synic:  FAIL (0.21 s)
 (012/105) idt_test:  FAIL (0.20 s)
 (013/105) intel_iommu:  FAIL (0.18 s)
 (014/105) ioapic:  FAIL (0.23 s)
 (015/105) ioapic-split:  FAIL (0.26 s)
 (016/105) kvmclock_test:  FAIL (0.20 s)
 (017/105) memory:  FAIL (0.19 s)
 (018/105) msr:  FAIL (0.19 s)
 (019/105) pcid:  FAIL (0.20 s)
 (020/105) pku:  FAIL (0.25 s)
 (021/105) pmu:  FAIL (0.15 s)
 (022/105) port80:  FAIL (0.19 s)
 (023/105) realmode:  FAIL (0.19 s)
 (024/105) rmap_chain:  FAIL (0.21 s)
 (025/105) s3:  FAIL (0.20 s)
 (026/105) sieve:  FAIL (0.19 s)
 (027/105) smap:  FAIL (0.19 s)
 (028/105) smptest:  FAIL (0.19 s)
 (029/105) smptest3:  FAIL (0.18 s)
 (030/105) svm:  FAIL (0.22 s)
 (031/105) syscall:  FAIL (0.20 s)
 (032/105) taskswitch:  FAIL (0.66 s)
 (033/105) taskswitch2:  FAIL (0.08 s)
 (034/105) tsc:  FAIL (0.19 s)
 (035/105) tsc_adjust:  FAIL (0.23 s)
 (036/105) vmexit_cpuid:  FAIL (0.20 s)
 (037/105) vmexit_inl_pmtimer:  FAIL (0.20 s)
 (038/105) vmexit_ipi:  FAIL (0.18 s)
 (039/105) vmexit_ipi_halt:  FAIL (0.20 s)
 (040/105) vmexit_mov_from_cr8:  FAIL (0.22 s)
 (041/105) vmexit_mov_to_cr8:  FAIL (0.18 s)
 (042/105) vmexit_ple_round_robin:  FAIL (0.20 s)
 (043/105) vmexit_tscdeadline:  FAIL (0.19 s)
 (044/105) vmexit_tscdeadline_immed:  FAIL (0.24 s)
 (045/105) vmexit_vmcall:  FAIL (0.19 s)
 (046/105) vmware_backdoors:  FAIL (0.19 s)
 (047/105) vmx:  FAIL (0.20 s)
 (048/105) vmx_apic_passthrough:  FAIL (0.27 s)
 (049/105) vmx_apic_passthrough_thread:  FAIL (0.25 s)
 (050/105) vmx_control_field_EFER:  FAIL (0.22 s)
 (051/105) vmx_control_field_PAT:  FAIL (0.33 s)
 (052/105) vmx_controls:  FAIL (0.19 s)
 (053/105) vmx_cr_load_test:  FAIL (0.20 s)
 (054/105) vmx_CR_shadowing:  FAIL (0.20 s)
 (055/105) vmx_debug_controls:  FAIL (0.21 s)
 (056/105) vmx_disable_RDTSCP:  FAIL (0.20 s)
 (057/105) vmx_eoi_bitmap_ioapic_scan:  FAIL (0.19 s)
 (058/105) vmx_ept_access_test_execute_only:  FAIL (0.21 s)
 (059/105) vmx_ept_access_test_force_2m_page:  FAIL (0.19 s)
 (060/105) vmx_ept_access_test_ignored_bits:  FAIL (0.21 s)
 (061/105) vmx_ept_access_test_not_present:  FAIL (0.21 s)
 (062/105) vmx_ept_access_test_paddr_not_present_ad_disabled:  FAIL (0.20 s)
 (063/105) vmx_ept_access_test_paddr_not_present_ad_enabled:  FAIL (0.21 s)
 (064/105) vmx_ept_access_test_paddr_not_present_page_fault:  FAIL (0.21 s)
 (065/105) vmx_ept_access_test_paddr_read_execute_ad_disabled:  FAIL (0.34 s)
 (066/105) vmx_ept_access_test_paddr_read_execute_ad_enabled:  FAIL (0.19 s)
 (067/105) vmx_ept_access_test_paddr_read_only_ad_disabled:  FAIL (0.23 s)
 (068/105) vmx_ept_access_test_paddr_read_only_ad_enabled:  FAIL (0.20 s)
 (069/105) vmx_ept_access_test_paddr_read_write:  FAIL (0.22 s)
 (070/105) vmx_ept_access_test_paddr_read_write_execute:  FAIL (0.20 s)
 (071/105) vmx_ept_access_test_read_execute:  FAIL (0.21 s)
 (072/105) vmx_ept_access_test_read_only:  FAIL (0.20 s)
 (073/105) vmx_ept_access_test_read_write:  FAIL (0.23 s)
 (074/105) vmx_ept_access_test_read_write_execute:  FAIL (0.23 s)
 (075/105) vmx_ept_access_test_reserved_bits:  FAIL (0.29 s)
 (076/105) vmx_ept_access_test_write_execute:  FAIL (0.19 s)
 (077/105) vmx_ept_access_test_write_only:  FAIL (0.20 s)
 (078/105) vmx_EPT_AD_disabled:  FAIL (0.28 s)
 (079/105) vmx_EPT_AD_enabled:  FAIL (0.20 s)
 (080/105) vmx_exit_monitor_from_l2_test:  FAIL (0.21 s)
 (081/105) vmx_instruction_intercept:  FAIL (0.19 s)
 (082/105) vmx_int3:  FAIL (0.19 s)
 (083/105) vmx_interrupt:  FAIL (0.22 s)
 (084/105) vmx_into:  FAIL (0.18 s)
 (085/105) vmx_invvpid:  FAIL (0.26 s)
 (086/105) vmx_IO_bitmap:  FAIL (0.20 s)
 (087/105) vmx_MSR_switch:  FAIL (0.21 s)
 (088/105) vmx_null:  FAIL (0.21 s)
 (089/105) vmx_PML:  FAIL (0.20 s)
 (090/105) vmx_preemption_timer:  FAIL (0.56 s)
 (091/105) vmx_test_vmclear:  FAIL (0.28 s)
 (092/105) vmx_test_vmcs_high:  FAIL (0.26 s)
 (093/105) vmx_test_vmcs_lifecycle:  FAIL (0.21 s)
 (094/105) vmx_test_vmptrld:  FAIL (0.20 s)
 (095/105) vmx_test_vmptrst:  FAIL (0.21 s)
 (096/105) vmx_test_vmwrite_vmread:  FAIL (0.19 s)
 (097/105) vmx_test_vmx_caps:  FAIL (0.19 s)
 (098/105) vmx_test_vmx_feature_control:  FAIL (0.21 s)
 (099/105) vmx_test_vmxon:  FAIL (0.27 s)
 (100/105) vmx_v2:  FAIL (0.26 s)
 (101/105) vmx_vmenter:  FAIL (0.20 s)
 (102/105) vmx_vmentry_movss_shadow_test:  FAIL (0.21 s)
 (103/105) vmx_vmmcall:  FAIL (0.19 s)
 (104/105) vmx_VPID:  FAIL (0.31 s)
 (105/105) xsave:  FAIL (0.21 s)
RESULTS    : PASS 0 | ERROR 0 | FAIL 105 | SKIP 0 | WARN 0 | INTERRUPT 0 | CANCEL 0
JOB TIME   : 55.11 s
